団体コード,都道府県名,郡名,市区町村名
292010,奈良県,,奈良市
292028,奈良県,,大和高田市
292036,奈良県,,大和郡山市
292044,奈良県,,天理市
292052,奈良県,,橿原市
292061,奈良県,,桜井市
292079,奈良県,,五條市
292087,奈良県,,御所市
292095,奈良県,,生駒市
292109,奈良県,,香芝市
292117,奈良県,,葛城市
292125,奈良県,,宇陀市
293229,奈良県,山辺郡,山添村
293423,奈良県,生駒郡,平群町
293431,奈良県,生駒郡,三郷町
293440,奈良県,生駒郡,斑鳩町
293458,奈良県,生駒郡,安堵町
293610,奈良県,磯城郡,川西町
293628,奈良県,磯城郡,三宅町
293636,奈良県,磯城郡,田原本町
293857,奈良県,宇陀郡,曽爾村
293865,奈良県,宇陀郡,御杖村
294012,奈良県,高市郡,高取町
294021,奈良県,高市郡,明日香村
294241,奈良県,北葛城郡,上牧町
294250,奈良県,北葛城郡,王寺町
294268,奈良県,北葛城郡,広陵町
294276,奈良県,北葛城郡,河合町
294411,奈良県,吉野郡,吉野町
294420,奈良県,吉野郡,大淀町
294438,奈良県,吉野郡,下市町
294446,奈良県,吉野郡,黒滝村
294462,奈良県,吉野郡,天川村
294471,奈良県,吉野郡,野迫川村
294497,奈良県,吉野郡,十津川村
294501,奈良県,吉野郡,下北山村
294519,奈良県,吉野郡,上北山村
294527,奈良県,吉野郡,川上村
294535,奈良県,吉野郡,東吉野村